Location,Max Traffic (Mb/s) (99%),Choke Point,Choke Point Limit (Mb/s),Circuit Max Limit (Mb/s),Circuit Utilization (%),"Choke Point Utilization (%) T[0,-14]d","Choke Point Utilization (%) T[-7,-21]d","Choke Point Utilization (%) T[-14,-28]d","Choke Point Utilization (%) T[-21,-35]d",Max Usage Plan,Notes,Action
Core Utilization Summary
Core,Bandwidth,Max Capacity,Utilization
CoreLA,22440,40000,0.561
CoreSLC1,7512,20000,0.3756
CoreAZ,2043,10000,0.2043
Total:,31995,70000,0.4570714285714286
"1221 Ocean ,21,CMTS,608,1000,0.03453947368421053,0.021
","1900 Ocean,136,CMTS,1216,5000,0.1118421052631579,0.0272
","210 Third Lofts POP,415,Circuit,5000,5000,0.083,0.083
","210 Third Lofts Site,40,Circuit,5000,5000,0.008,0.008
","The Lakes POP,359,Circuit,10000,10000,0.0359,0.0359
","The Lakes Site,56,CMTS,2432,10000,0.023026315789473683,0.0056
","94th Aero,NA,Circuit,1000,1000,0.0,0.0
","AAA Security,41,Circuit,100,100,0.41,0.41
","Arbor Crossing Apartments,641,Circuit,1000,1000,0.641,0.641
","Alessio Apts,324,CMTS,608,1000,0.5328947368421053,0.324
","Alight Norman,1308,Circuit,10000,10000,0.1308,0.1308
","Alta at Hope,52,Radio,700,700,0.07428571428571429,0.07428571428571429
","Anavia POP,408,Circuit,10000,10000,0.0408,0.0408
","Anavia Site,22,Switch,1000,10000,0.022,0.0022
","The George,19,CMTS,608,700,0.03125,0.027142857142857142
","Angelus,1,Radio,700,700,0.0014285714285714286,0.0014285714285714286
","AO Apartments POP,316,Circuit,10000,10000,0.0316,0.0316
","AO Apartments Site,24,Switch,1000,10000,0.024,0.0024
","Aqua Marina POP,365,Switch,1000,10000,0.365,0.0365
","Aqua Marina Site,25,CMTS,1216,10000,0.02055921052631579,0.0025
","Avalon Thousand Oaks,391,Circuit,1000,1000,0.391,0.391
","Axis 2300,179,Radio,2000,2000,0.0895,0.0895
","Arizona Core Zayo 10Gb CIR,2043,Circuit,10000,10000,0.2043,0.2043
","Seven West,184,CMTS,608,700,0.3026315789473684,0.26285714285714284
","Blair House POP,530,Switch,10000,10000,0.053,0.053
","Blair House Site,16,CMTS,608,10000,0.02631578947368421,0.0016
","Bear Lake KOA,70,Circuit,200,200,0.35,0.35
","Boathouse,7,Circuit,1000,1000,0.007,0.007
","Bridge Pointe Apartments,388,Switch,1000,2000,0.388,0.194
","Brentwood Kiowa,116,CMTS,1216,2000,0.09539473684210527,0.058
","Burbank Village POP,142,Circuit,1000,1000,0.142,0.142
","Burbank Village Walk Site,12,CMTS,608,1000,0.019736842105263157,0.012
","Castaway Burbank,36,Radio,700,700,0.05142857142857143,0.05142857142857143
","Bryce Valley KOA,38,Circuit,50,50,0.76,0.76
","Bella Vita Senior Living ,74,Circuit,500,500,0.148,0.148
","C7 Edge,1047,Circuit,10000,10000,0.1047,0.1047
","CBS Apartments,76,Circuit,2000,2000,0.038,0.038
","CBS Apartments POP,71,Circuit,2000,2000,0.0355,0.0355
","Cason Estates Apartments,821,Circuit,1000,1000,0.821,0.821
","Coconut Cove,18,Circuit,150,150,0.12,0.12
","Cogent 10Gig Internet,3415,Circuit,10000,10000,0.3415,0.3415
","Nitel 10Gig Cir,55,Circuit,10000,10000,0.0055,0.0055
","Spectrum 10Gig CIR,134,Circuit,10000,10000,0.0134,0.0134
","CA Zayo Internet NNI,7832,Circuit,10000,10000,0.7832,0.7832
","Crown Castle 10Gig CIR,145,Circuit,10000,10000,0.0145,0.0145
","ATT Metro 10Gig CIR,171,Circuit,10000,10000,0.0171,0.0171
","CoreSite Peering Virtual IXP Port Circuit,11193,Circuit,20000,20000,0.55965,0.55965
","Zayo 10G South Ring B,550,Circuit,10000,10000,0.055,0.055
","Zayo 10G South Ring A,396,Circuit,10000,10000,0.0396,0.0396
","Cortesia at Rancho,68,Circuit,5000,5000,0.0136,0.0136
","Country Creek,25,CMTS,1216,2000,0.02055921052631579,0.0125
","Carolina Townhomes,52,Radio,300,2000,0.17333333333333334,0.026
","The Chateaux,135,Circuit,1500,1500,0.09,0.09
","Deer Creek Apartments,349,Circuit,2000,2000,0.1745,0.1745
","Del Rey Club,651,Circuit,10000,10000,0.0651,0.0651
","District Lofts,518,Circuit,10000,10000,0.0518,0.0518
","Eastown,345,Radio,2000,2000,0.1725,0.1725
","Edinburg Apartments,77,Circuit,2000,2000,0.0385,0.0385
","El Centro POP,1011,Circuit,5000,5000,0.2022,0.2022
","El Centro Site,130,Circuit,5000,5000,0.026,0.026
","Foothill Terrace CMTS B,18,Circuit,1000,1000,0.018,0.018
","Foothill Terrace CMTS A,13,UBR,608,1000,0.02138157894736842,0.013
","Form 15,50,Circuit,5000,5000,0.01,0.01
","Fourth and U,48,Circuit,1000,1000,0.048,0.048
","Gallery 421,798,CMTS,1216,2000,0.65625,0.399
","Granada Villas ,52,Circuit,300,300,0.17333333333333334,0.17333333333333334
","Granit Bay,172,Radio,2000,2000,0.086,0.086
","Huntington Cont,49,Circuit,300,300,0.16333333333333333,0.16333333333333333
","Kampus Korner Apartments,125,Circuit,2000,2000,0.0625,0.0625
","La Belle ,14,CMTS,608,1000,0.023026315789473683,0.014
","La Princesa,167,CMTS,608,1000,0.2746710526315789,0.167
","L& 39;estancia,230,CMTS,608,1000,0.3782894736842105,0.23
","Lift Lodge Resort,30,Circuit,1000,1000,0.03,0.03
","Logan Edge,432,Switch,10000,10000,0.0432,0.0432
","Lark on Main,483,Circuit,5000,5000,0.0966,0.0966
","Logan Pointe,10,Radio,300,2000,0.03333333333333333,0.005
","Lake Saint James,720,Circuit,1000,1000,0.72,0.72
","Marina Harbor POP,415,Switch,2000,10000,0.2075,0.0415
","Marina Harbor Site,294,Switch,2000,10000,0.147,0.0294
","Marina Towers,198,CMTS,608,700,0.3256578947368421,0.28285714285714286
","Mariposa Playa Del Rey ,32,Circuit,1000,1000,0.032,0.032
","Mediterranean Apts,73,CMTS,608,1000,0.12006578947368421,0.073
","Mediterranean Village A,465,Radio,900,1000,0.5166666666666667,0.465
","Mediterranean Village B,40,Circuit,1000,1000,0.04,0.04
","Mercantile Arcade Bldg ,3,CMTS,608,700,0.004934210526315789,0.004285714285714286
","Mirabella,154,Radio,2000,2000,0.077,0.077
","Mill House Apartments,162,Circuit,1000,1000,0.162,0.162
","Melrose Apartments,353,Circuit,1000,1000,0.353,0.353
","Mountain States Property Management,24,Circuit,400,400,0.06,0.06
","National Abilities Center,30,Circuit,150,150,0.2,0.2
","Nottingham Apartments,68,Circuit,2000,2000,0.034,0.034
","Tides on 25th,739,CMTS,1216,2000,0.6077302631578947,0.3695
","Nineteen01,75,CMTS,1216,10000,0.061677631578947366,0.0075
","Novo Apartments,200,Circuit,1000,1000,0.2,0.2
","Newport Village Apartments,302,Circuit,3000,3000,0.10066666666666667,0.10066666666666667
","Neville Properties,190,Circuit,500,500,0.38,0.38
","Oaknoll Condominiums,387,UBR,608,1000,0.6365131578947368,0.387
","Ocean Club POP,1012,Circuit,10000,10000,0.1012,0.1012
","Ocean Club Site,76,CMTS,2432,10000,0.03125,0.0076
","Off Campus Residences,149,Circuit,1000,1000,0.149,0.149
","OFA Centurylink NNI,2116,Circuit,10000,10000,0.2116,0.2116
","Old Main Village,161,Circuit,2000,2000,0.0805,0.0805
","Oasis Palms Apartments,468,Circuit,500,500,0.936,0.936
","Oakridge Apartments,742,Circuit,2000,2000,0.371,0.371
","Oakridge Apartments POP,919,Circuit,10000,10000,0.0919,0.0919
","Orchard Park,411,Circuit,1000,1000,0.411,0.411
","Palazzo West POP,172,Circuit,10000,10000,0.0172,0.0172
","Palazzo West Site,1,Switch,10000,10000,0.0001,0.0001
","Palazzo II East,179,Switch,10000,10000,0.0179,0.0179
","Palm Court Apartments,1081,Circuit,2000,2000,0.5405,0.5405
","Park Towne,647,Circuit,1000,1000,0.647,0.647
","Park Viridian,223,Radio,2000,2000,0.1115,0.1115
","Park Wilshire POP,305,Circuit,10000,10000,0.0305,0.0305
","The Wilshire Terrace,14,CMTS,608,700,0.023026315789473683,0.02
","Park Wilshire Site,21,CMTS,608,10000,0.03453947368421053,0.0021
","PCS Development,70,Circuit,1000,1000,0.07,0.07
","Pinnacle at Otay,15,Circuit,1000,1000,0.015,0.015
","Pinnacle at Talega,129,Circuit,1000,1000,0.129,0.129
","Portico Kirby Apartments,535,Circuit,2000,2000,0.2675,0.2675
","The Premiere at Eastmark,754,Circuit,10000,10000,0.0754,0.0754
","Proud Bird,12,Circuit,1000,1000,0.012,0.012
","Retreat at Peach Tree City,941,Circuit,2000,2000,0.4705,0.4705
","Quailpointe Apts,382,Circuit,1000,1000,0.382,0.382
","Retreat at Harrisonburg,1223,Circuit,5000,5000,0.2446,0.2446
","Retreat at Stafford,662,Circuit,1000,1000,0.662,0.662
","The Remington,91,CMTS,1216,2000,0.07483552631578948,0.0455
","Renaissance At Uptown Orange,246,Radio,2000,2000,0.123,0.123
","Reserve at Warner Center,508,CMTS,2432,5000,0.20888157894736842,0.1016
","West Tisbury Donegal Bay Apartments,294,Circuit,500,500,0.588,0.588
","Red Point Wilmington,820,Circuit,10000,10000,0.082,0.082
","Retreat at River Park,679,Circuit,2000,2000,0.3395,0.3395
","Red Rock Ridge Apartments,892,Circuit,2000,2000,0.446,0.446
","Sage Parks,540,Circuit,1000,1000,0.54,0.54
","Santa Fe Lofts POP,250,Circuit,1000,1000,0.25,0.25
","Santa Fe Lofts Site,18,CMTS,608,1000,0.029605263157894735,0.018
","Santee Court,9,CMTS,608,700,0.014802631578947368,0.012857142857142857
","Saratoga,1569,Circuit,10000,10000,0.1569,0.1569
","Stone Brook Apartments,234,Circuit,1000,1000,0.234,0.234
","Stone Brook Apartments,725,Switch,1000,2000,0.725,0.3625
","Sage Brush Village,282,Circuit,1000,1000,0.282,0.282
","Seasons on City Creek,348,Circuit,800,800,0.435,0.435
","Seascape II,246,CMTS,608,700,0.40460526315789475,0.3514285714285714
","Shaw Butte POP,1090,Circuit,2000,2000,0.545,0.545
","Social Hall Hurricane Electric NNI,4267,Circuit,10000,10000,0.4267,0.4267
","Social Hall Zayo NNI,3245,Circuit,10000,10000,0.3245,0.3245
","Skyline,258,Circuit,10000,10000,0.0258,0.0258
","Seasons at Library Square,345,Circuit,600,600,0.575,0.575
","Seasons at Murray Crossing,921,Circuit,2000,2000,0.4605,0.4605
","Sofi At 3rd,37,Radio,700,700,0.05285714285714286,0.05285714285714286
","Sofi at Topanga,77,Circuit,1000,1000,0.077,0.077
","Sofi at Warner Center Site,147,Circuit,2000,2000,0.0735,0.0735
","Sofi at Warner Center POP,4,Circuit,2000,2000,0.002,0.002
","Oceano at Warner Center,7,Radio,700,700,0.01,0.01
","Seasons of Layton,486,Circuit,1000,1000,0.486,0.486
","Seasons on Skyline,1058,Circuit,2000,2000,0.529,0.529
","Santa Rita Senior Village,75,Circuit,100,100,0.75,0.75
","Strathmore Regency POP,1135,CMTS,2432,10000,0.4666940789473684,0.1135
","Stadium Crossing Apartments,189,Radio,800,1000,0.23625,0.189
","Seasons of Traverse Mountain,1648,Circuit,5000,5000,0.3296,0.3296
","Midvale Plaza I,20,Radio,700,700,0.02857142857142857,0.02857142857142857
","Midvale Plaza II,44,Radio,700,700,0.06285714285714286,0.06285714285714286
","The Legacy at Westwood Site,326,CMTS,1216,10000,0.2680921052631579,0.0326
","Stadium Village Flats,558,Circuit,1500,5000,0.372,0.1116
","Third Avenue Lofts,129,Circuit,600,600,0.215,0.215
","The Californian,224,Radio,10000,10000,0.0224,0.0224
","The Graham,8,Circuit,1000,1000,0.008,0.008
","The Grove at Deer Valley,30,Radio,700,700,0.04285714285714286,0.04285714285714286
","The Legacy at Westwood POP,528,Circuit,10000,10000,0.0528,0.0528
","The Liddel,1,Radio,700,700,0.0014285714285714286,0.0014285714285714286
","The Marke,106,Switch,1000,10000,0.106,0.0106
","The Medici Site,15,CMTS,608,1000,0.024671052631578948,0.015
","The Medici POP,115,Switch,1000,10000,0.115,0.0115
","The Meridian Condos,136,Circuit,500,500,0.272,0.272
","The Premiere at Dana Park,1402,Circuit,10000,10000,0.1402,0.1402
","The Reef,1,Radio,500,500,0.002,0.002
","The Regatta,8,Radio,700,700,0.011428571428571429,0.011428571428571429
","The Rhys Apartments,33,Circuit,1000,1000,0.033,0.033
","The Turing,367,Circuit,2000,2000,0.1835,0.1835
","The Tuscany Lakewood,229,Circuit,10000,10000,0.0229,0.0229
","The Wilshire Comstock,25,CMTSx2,1216,10000,0.02055921052631579,0.0025
","The Wilshire,146,CMTS,608,700,0.24013157894736842,0.20857142857142857
","Trabuco Highlands,81,Circuit,1000,1000,0.081,0.081
","Utah THC,7,Circuit,200,200,0.035,0.035
","Vermont Breeze,472,Circuit,1000,1000,0.472,0.472
","Village Grove Apartments,100,Circuit,250,250,0.4,0.4
","Villa Del Mar,21,Switch,1000,10000,0.021,0.0021
","Villas at Park La Brea,74,Radio,2000,2000,0.037,0.037
","Vinegate Apartments,446,Circuit,1000,1000,0.446,0.446
","Vistas of West Hills,85,Circuit,2000,2000,0.0425,0.0425
","Walking Comfort,17,Circuit,100,100,0.17,0.17
","Westside Cloudbreak,192,Radio,300,1000,0.64,0.192
","Rusty Pelican Miami,11,Radio,700,700,0.015714285714285715,0.015714285714285715
","Wilshire Royale POP,354,Circuit,10000,10000,0.0354,0.0354
","Wilshire Royale Site,48,CMTS,1216,10000,0.039473684210526314,0.0048
","Windrose Apartments,376,Circuit,10000,10000,0.0376,0.0376
","Woodcliff POP,222,Circuit,10000,10000,0.0222,0.0222
","Woodcliff Site,28,CMTSx2,608,700,0.046052631578947366,0.04
","Woodcreek,686,Circuit,10000,10000,0.0686,0.0686
","Wasatch Point Apartments,471,Circuit,2000,2000,0.2355,0.2355
"
